id;province_id;city_id;city_name;pinyin;pinyin_first
698;8;230506;宝山区;bao'shan'qu;b's'q
699;8;230521;集贤县;ji'xian'xian;j'x'x
700;8;230522;友谊县;you'yi'xian;y'y'x
701;8;230523;宝清县;bao'qing'xian;b'q'x
702;8;230524;饶河县;rao'he'xian;r'h'x
703;8;230600;大庆市;da'qing'shi;d'q's
704;8;230602;萨尔图区;sa'er'tu'qu;s'e't'q
705;8;230603;龙凤区;long'feng'qu;l'f'q
706;8;230604;让胡路区;rang'hu'lu'qu;r'h'l'q
707;8;230605;红岗区;hong'gang'qu;h'g'q
708;8;230606;大同区;da'tong'qu;d't'q
709;8;230621;肇州县;zhao'zhou'xian;z'z'x
710;8;230622;肇源县;zhao'yuan'xian;z'y'x
711;8;230623;林甸县;lin'dian'xian;l'd'x
712;8;230624;杜尔伯特蒙古族自治县;du'er'bo'te'meng'gu'zu'zi'zhi'xian;d'e'b't'm'g'z'z'z'x
713;8;230700;伊春市;yi'chun'shi;y'c's
714;8;230702;伊春区;yi'chun'qu;y'c'q
715;8;230703;南岔区;nan'cha'qu;n'c'q
716;8;230704;友好区;you'hao'qu;y'h'q
717;8;230705;西林区;xi'lin'qu;x'l'q
718;8;230706;翠峦区;cui'luan'qu;c'l'q
719;8;230707;新青区;xin'qing'qu;x'q'q
720;8;230708;美溪区;mei'xi'qu;m'x'q
721;8;230709;金山屯区;jin'shan'tun'qu;j's't'q
722;8;230710;五营区;wu'ying'qu;w'y'q
723;8;230711;乌马河区;wu'ma'he'qu;w'm'h'q
724;8;230712;汤旺河区;tang'wang'he'qu;t'w'h'q
725;8;230713;带岭区;dai'ling'qu;d'l'q
726;8;230714;乌伊岭区;wu'yi'ling'qu;w'y'l'q
727;8;230715;红星区;hong'xing'qu;h'x'q
728;8;230716;上甘岭区;shang'gan'ling'qu;s'g'l'q
729;8;230722;嘉荫县;jia'yin'xian;j'y'x
730;8;230781;铁力市;tie'li'shi;t'l's
731;8;230800;佳木斯市;jia'mu'si'shi;j'm's's
732;8;230803;向阳区;xiang'yang'qu;x'y'q
733;8;230804;前进区;qian'jin'qu;q'j'q
734;8;230805;东风区;dong'feng'qu;d'f'q
735;8;230811;郊区;jiao'qu;j'q
736;8;230822;桦南县;hua'nan'xian;h'n'x
737;8;230826;桦川县;hua'chuan'xian;h'c'x
738;8;230828;汤原县;tang'yuan'xian;t'y'x
739;8;230833;抚远县;fu'yuan'xian;f'y'x
740;8;230881;同江市;tong'jiang'shi;t'j's
